Comment,Sentiment Score
"Prerequisites Docker Video To check <br><a href=""https://www.youtube.com/watch?v=8vmKtS8W7IQ"">https://www.youtube.com/watch?v=8vmKtS8W7IQ</a>",0.0
link is not working. deployment happened perfectly,0.6369
i don&#39;t recall if any other youtuber has done this.. kudos to krish,0.5106
Thank you very much Krish. The yaml file you used is not exactly the one from Github actions. Can you please make a video about how you customized it?,0.5859
kisiko kuchh samajhme aya kya?,0.0
thank you sir for making such an amazing contents ❤,0.743
Guys anyone knows if everything done here is free ?,0.5106
Your efforts and passion for teaching are amazing. thanks. can you please make videos on github actions and CICD pipelines on a more detailed level?,0.9001
"Hi, Are there any books, tools or resources that specifically focus on MLOps on the edge (with unstable Internet connectivity). For example resources that focus on model deployment, data collection, continuous training of models on the edge ?<br><br>A lot of the MLOps books and resources I have seen focus on the general machine learning use cases (e.g model stores, feature stores, batch vs stream etc ). Also most of the tools that I have seen work when the product is deployed on the cloud. I have rarely seen tools and system design approaches for Deep learning and computer vision on the edge.",-0.128
"Hi Krish, can you please show the demo of adding unit testing in CICD pipeline",0.3182
Thank you so much Mr.Krish  for share video for iNeuron student,0.5719
Thank you so much Mr.Krish  for share video for iNeuron student,0.5719
Hey Krish stuck in continuous deployment for more than 2 hrs Please help,0.5046
Very Good series  Krish . It would be great if you will add mlflow .<br>.,0.807
Can I do all this in amazon free tier ?? Before practicing I want to be sure that no money would be deducted. Kindly guide sir. @Krish Naik,0.8385
can you please make a video on how to deploy using vercel deployment please ..,0.5574
hi krish is it possible to deploy custom yolo5 model with this??,0.0
"sir, live machine learning notes are not available .<br>can you re upload it in community",0.0
Hi sir my question is how to make lensa app?,0.0
These videos are wonderful. Will there be any content on model monitoring and continuous retraining? That would be an incredible addition to this series,0.5719
Sir Still We are Not received Our reimbursment Of Rajasthan IT Day Hackthon...😢,0.0
"I am writing to express my disappointment regarding the reimbursement promise made during the Hackathon event that I participated in Rajasthan. As per the agreement, it was promised that the traveling expenses would be reimbursed, but unfortunately, I have not received any reimbursement to date.",-0.1901
"PLEASE DO A COMPLETE VIDEO ON HOW TO<br><br>1. Load data<br>2. Exploratory data analysis<br>3. Data preprocessing like feature encoding, scaling,  (numerical and categorical) with pipeline, sampling the target, using PCA<br>4. Classification using traditional machine learning<br>5. Classification using neural network<br><br><br>Please do one video with all these together. With Target feature being a categorical variable.<br><br><br>WOULD MEAN THE WORLD TO A LOT OF US TO UNDERSTAND MACHINE LEARNING PROPERLY WITH ALL THESE METHODS",0.6739
thank you krish can you upload a video for environments that is offline (the internet is not allowed). CI/CD,0.25
Please could you make same video with respect to GCP,0.6597
Thank you sir for the tutorial.,0.3612
Hi sir can you make a video òn if we want to  deploy a  prediction model and wè also want to create visualisation automatically based on the data input by the usèr how can we do that.,0.4019
"Awesome Sir ...Thanks<br>Sir,Can you please make one project with batch prediction and deployment with schedule and monitoring tools <br>This will be very helpful for all the fresher and experienced candidates",0.8588
Thanks Sir,0.4404
